#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262351254270600,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262351254270600,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262351254270600,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262351665644300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262351763749500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262351887159500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352001809900,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352110005800,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352224992200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352333491300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352441660400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352550040100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352650029600,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352758424000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352866791000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262352974988700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353083521000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353191640200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353308347400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353416726100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353516873300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353633372100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353741647500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353850086100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262353958345600,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354075032400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354174993100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354286426800,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354386920100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354496041200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
