#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1680262353983470800,0.00100691,-0.00149751,-0.000102001,0.139315,0.43189,-9.8296
1680262353991694700,0.000484794,-0.000387702,0.0002151,0.110628,0.456403,-9.81634
1680262354000067300,0.000438364,0.00103082,0.000490184,0.197162,0.465638,-9.80506
1680262354008309400,0.00106025,0.00115803,0.000184234,0.160694,0.377415,-9.7871
1680262354016728400,3.6832e-05,-0.000983733,2.29697e-05,0.199418,0.375537,-9.77999
1680262354024999800,0.000493593,-0.00203081,0.000487236,0.146838,0.421088,-9.81685
1680262354033415600,-0.000513621,0.000393207,0.00143547,0.127019,0.439245,-9.79903
1680262354041651300,-0.000340265,0.000733406,-0.000908183,0.120747,0.392448,-9.78276
1680262354050273400,-0.000775602,0.000470761,-0.000893441,0.139816,0.45042,-9.79277
1680262354058335200,-0.00132312,0.00169891,0.000172191,0.153353,0.406411,-9.779
1680262354066746500,0.000317659,-0.000409734,0.000721845,0.201854,0.448729,-9.8257
1680262354075036200,0.0010715,2.75415e-05,-0.00106007,0.15469,0.426357,-9.74926
1680262354083381200,-0.00117079,-0.000714877,0.000312234,0.161597,0.41468,-9.7719
1680262354091684400,0.000439734,-0.000198235,-0.00156717,0.12878,0.390381,-9.78253
1680262354100110200,0.000460732,-0.00158813,-0.00109007,0.169149,0.447473,-9.73552
1680262354108375800,-0.00166688,-0.00122991,0.000531452,0.166141,0.436668,-9.83829
1680262354116719700,0.000261459,0.00108335,-8.36164e-05,0.106567,0.380236,-9.78965
1680262354125114000,-0.000385189,-0.000339683,-0.000463261,0.119468,0.442702,-9.76706
1680262354133439200,0.000182085,0.000441752,0.00147259,0.171492,0.42256,-9.78708
1680262354141698500,0.000656039,-0.000661304,0.000113212,0.151824,0.413361,-9.79569
1680262354150068400,0.000110765,-0.00162458,0.00131255,0.175392,0.432904,-9.8149
